# Energy(eV)  Abs(norm)
1.57667528 -0.00246316
1.57897364 -0.00387132
1.58127200 -0.00245834
1.58357036 -0.00386575
1.58586872 -0.00245259
1.58816708 -0.00385962
1.59046544 -0.00244648
1.59276380 -0.00385415
1.59506216 -0.00244121
1.59736052 -0.00384904
1.59965888 -0.00243684
1.60195724 -0.00384428
1.60425560 -0.00243192
1.60655396 -0.00383952
1.60885232 -0.00242713
1.61115068 -0.00383433
1.61344904 -0.00242289
1.61574740 -0.00383012
1.61804576 -0.00241904
1.62034412 -0.00382580
1.62264249 -0.00241496
1.62494085 -0.00382143
1.62723921 -0.00241015
1.62953757 -0.00381591
1.63183593 -0.00240450
1.63413429 -0.00380987
1.63643265 -0.00239804
1.63873101 -0.00380314
1.64102937 -0.00239158
1.64332773 -0.00379703
1.64562609 -0.00238655
1.64792445 -0.00379237
1.65022281 -0.00238278
1.65252117 -0.00378866
1.65481953 -0.00237966
1.65711789 -0.00378474
1.65941625 -0.00237555
1.66171461 -0.00377990
1.66401297 -0.00237038
1.66631133 -0.00377425
1.66860969 -0.00236532
1.67090805 -0.00376869
1.67320642 -0.00236029
1.67550478 -0.00376486
1.67780314 -0.00235713
1.68010150 -0.00376256
1.68239986 -0.00235575
1.68469822 -0.00376199
1.68699658 -0.00235522
1.68929494 -0.00376103
1.69159330 -0.00235333
1.69389166 -0.00375832
1.69619002 -0.00234885
1.69848838 -0.00375279
1.70078674 -0.00234286
1.70308510 -0.00374561
1.70538346 -0.00233649
1.70768182 -0.00373946
1.70998018 -0.00233132
1.71227854 -0.00373519
1.71457690 -0.00232661
1.71687526 -0.00373085
1.71917362 -0.00232184
1.72147199 -0.00372517
1.72377035 -0.00231636
1.72606871 -0.00371973
1.72836707 -0.00231114
1.73066543 -0.00371425
1.73296379 -0.00230631
1.73526215 -0.00370913
1.73756051 -0.00230135
1.73985887 -0.00370361
1.74215723 -0.00229669
1.74445559 -0.00369968
1.74675395 -0.00229443
1.74905231 -0.00369794
1.75135067 -0.00229383
1.75364903 -0.00369618
1.75594739 -0.00229214
1.75824575 -0.00369207
1.76054411 -0.00228711
1.76284247 -0.00368562
1.76514083 -0.00228123
1.76743919 -0.00367962
1.76973755 -0.00227719
1.77203592 -0.00367698
1.77433428 -0.00227534
1.77663264 -0.00367613
1.77893100 -0.00227362
