# Energy(eV)  Abs(norm)
2.74814811 -0.00114010
2.75159622 -0.00542165
2.75504434 -0.00113848
2.75849245 -0.00541777
2.76194057 -0.00113634
2.76538869 -0.00541402
2.76883680 -0.00113445
2.77228492 -0.00540972
2.77573303 -0.00113240
2.77918115 -0.00540585
2.78262926 -0.00113046
2.78607738 -0.00540224
2.78952549 -0.00112874
2.79297361 -0.00539850
2.79642173 -0.00112725
2.79986984 -0.00539444
2.80331796 -0.00112534
2.80676607 -0.00538985
2.81021419 -0.00112286
2.81366230 -0.00538509
2.81711042 -0.00112000
2.82055854 -0.00538019
2.82400665 -0.00111697
2.82745477 -0.00537582
2.83090288 -0.00111468
2.83435100 -0.00537186
2.83779911 -0.00111317
2.84124723 -0.00536871
2.84469534 -0.00111233
2.84814346 -0.00536552
2.85159158 -0.00111153
2.85503969 -0.00536212
2.85848781 -0.00111030
2.86193592 -0.00535828
2.86538404 -0.00110900
2.86883215 -0.00535437
2.87228027 -0.00110705
2.87572838 -0.00535050
2.87917650 -0.00110506
2.88262462 -0.00534605
2.88607273 -0.00110248
2.88952085 -0.00534168
2.89296896 -0.00110012
2.89641708 -0.00533717
2.89986519 -0.00109855
2.90331331 -0.00533345
2.90676142 -0.00109745
2.91020954 -0.00533011
2.91365766 -0.00109648
2.91710577 -0.00532664
2.92055389 -0.00109508
2.92400200 -0.00532283
2.92745012 -0.00109349
2.93089823 -0.00531880
2.93434635 -0.00109209
2.93779446 -0.00531567
2.94124258 -0.00109119
2.94469070 -0.00531260
2.94813881 -0.00109056
2.95158693 -0.00530920
2.95503504 -0.00108932
2.95848316 -0.00530491
2.96193127 -0.00108706
2.96537939 -0.00530011
2.96882750 -0.00108457
2.97227562 -0.00529536
2.97572374 -0.00108234
2.97917185 -0.00529071
2.98261997 -0.00108051
2.98606808 -0.00528641
2.98951620 -0.00107837
2.99296431 -0.00528211
2.99641243 -0.00107646
2.99986054 -0.00527797
3.00330866 -0.00107461
3.00675678 -0.00527403
3.01020489 -0.00107328
3.01365301 -0.00526987
3.01710112 -0.00107143
3.02054924 -0.00526521
3.02399735 -0.00106920
3.02744547 -0.00526038
3.03089358 -0.00106737
3.03434170 -0.00525602
3.03778982 -0.00106600
3.04123793 -0.00525250
3.04468605 -0.00106495
3.04813416 -0.00524881
3.05158228 -0.00106307
3.05503039 -0.00524424
3.05847851 -0.00106095
3.06192662 -0.00523965
3.06537474 -0.00105904
3.06882286 -0.00523549
3.07227097 -0.00105782
3.07571909 -0.00523231
3.07916720 -0.00105713
3.08261532 -0.00522928
3.08606343 -0.00105688
3.08951155 -0.00522597
3.09295967 -0.00105639
3.09640778 -0.00522264
3.09985590 -0.00105470
3.10330401 -0.00521836
